State,Year,Solar_Generation_MWh,Wind_Generation_MWh
Arizona,2019,58106,47052
Arizona,2020,133170,70669
Arizona,2021,54488,28350
Arizona,2022,49407,44700
Arizona,2023,65688,26346
Arizona,2024,93192,21972
California,2019,42705,27839
California,2020,77589,30618
California,2021,27370,63745
California,2022,54054,48798
California,2023,102219,12390
California,2024,35000,54016
Colorado,2019,26782,55836
Colorado,2020,78288,64779
Colorado,2021,25150,48321
Colorado,2022,77004,46409
Colorado,2023,13600,42380
Colorado,2024,23808,83475
Florida,2019,64068,23472
Florida,2020,65711,68818
Florida,2021,97929,69015
Florida,2022,34530,34426
Florida,2023,55419,16525
Florida,2024,58824,62442
Georgia,2019,42834,77272
Georgia,2020,35872,86475
Georgia,2021,58420,119016
Georgia,2022,47448,33936
Georgia,2023,31375,89275
Georgia,2024,27084,84750
Illinois,2019,32346,107118
Illinois,2020,34284,95956
Illinois,2021,28512,131457
Illinois,2022,58212,68685
Illinois,2023,76383,72722
Illinois,2024,21582,70440
Iowa,2019,13995,149760
Iowa,2020,16515,175232
Iowa,2021,14150,95718
Iowa,2022,20689,157309
Iowa,2023,29733,181115
Iowa,2024,10768,162380
Kansas,2019,20832,74269
Kansas,2020,26611,168797
Kansas,2021,11752,136116
Kansas,2022,10465,136530
Kansas,2023,17153,62139
Kansas,2024,29680,83223
Minnesota,2019,55625,106304
Minnesota,2020,41115,62722
Minnesota,2021,34918,98301
Minnesota,2022,36426,77216
Minnesota,2023,26430,60146
Minnesota,2024,29268,97630
Nevada,2019,92304,16373
Nevada,2020,69663,33312
Nevada,2021,145089,18819
Nevada,2022,61320,36413
Nevada,2023,87172,15295
Nevada,2024,56900,20952
New Mexico,2019,16935,101016
New Mexico,2020,35646,45135
New Mexico,2021,49413,59964
New Mexico,2022,37998,76415
New Mexico,2023,40032,112996
New Mexico,2024,27550,79706
North Dakota,2019,19410,102036
North Dakota,2020,14030,179826
North Dakota,2021,11106,67019
North Dakota,2022,32634,74037
North Dakota,2023,17087,95700
North Dakota,2024,13120,138824
North Carolina,2019,32136,75478
North Carolina,2020,59544,122985
North Carolina,2021,43764,91350
North Carolina,2022,13211,55000
North Carolina,2023,21156,75555
North Carolina,2024,26523,105326
Oklahoma,2019,25200,147875
Oklahoma,2020,8024,166296
Oklahoma,2021,16100,86576
Oklahoma,2022,16398,132858
Oklahoma,2023,28721,76212
Oklahoma,2024,21372,155484
Texas,2019,63644,51408
Texas,2020,35646,73372
Texas,2021,34320,107850
Texas,2022,29898,119314
Texas,2023,12120,42462
Texas,2024,36125,27521
